OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
onx,OnixCoin,/slip44:174,,
rvn,Ravencoin,/slip44:175,,
gbx,GoByte,/slip44:176,,
btcz,BitcoinZ,/slip44:177,,
poa,Poa,/slip44:178,,
nyc,NewYorkCoin,/slip44:179,,
mxt,MarteXcoin,/slip44:180,,
wc,Wincoin,/slip44:181,,
mnx,Minexcoin,/slip44:182,,
btcp,Bitcoin Private,/slip44:183,,
music,Musicoin,/slip44:184,,
bca,Bitcoin Atom,/slip44:185,,
crave,Crave,/slip44:186,,
stak,STRAKS,/slip44:187,,
wbtc,World Bitcoin,/slip44:188,,
lch,LiteCash,/slip44:189,,
excl,ExclusiveCoin,/slip44:190,,
lcc,LitecoinCash,/slip44:192,,
xfe,Feirm,/slip44:193,,
eos,EOS,/slip44:194,,
trx,Tron,/slip44:195,,
kobo,Kobocoin,/slip44:196,,
hush,HUSH,/slip44:197,,
ban,Banano,/slip44:198,,
etf,ETF,/slip44:199,,
omni,Omni,/slip44:200,,
bifi,BitcoinFile,/slip44:201,,
ufo,Uniform Fiscal Object,/slip44:202,,
cnmc,Cryptonodes,/slip44:203,,
bcn,Bytecoin,/slip44:204,,
rin,Ringo,/slip44:205,,
atp,Alaya,/slip44:206,,
evt,everiToken,/slip44:207,,
atn,ATN,/slip44:208,,
bis,Bismuth,/slip44:209,,
neet,NEETCOIN,/slip44:210,,
bopo,BopoChain,/slip44:211,,
oot,Utrum,/slip44:212,,
alias,Alias,/slip44:213,,
monk,Monkey Project,/slip44:214,,
boxy,BoxyCoin,/slip44:215,,
flo,Flo,/slip44:216,,
mec,Megacoin,/slip44:217,,
btdx,BitCloud,/slip44:218,,
xax,Artax,/slip44:219,,
anon,ANON,/slip44:220,,
ltz,LitecoinZ,/slip44:221,,
bitg,Bitcoin Green,/slip44:222,,
icp,Internet Computer (DFINITY),/slip44:223,,
smart,Smartcash,/slip44:224,,
xuez,XUEZ,/slip44:225,,
hlm,Helium,/slip44:226,,
web,Webchain,/slip44:227,,
acm,Actinium,/slip44:228,,
nos,NOS Stable Coins,/slip44:229,,
bitc,BitCash,/slip44:230,,
hth,Help The Homeless Coin,/slip44:231,,
tzc,Trezarcoin,/slip44:232,,
var,Varda,/slip44:233,,
iov,IOV,/slip44:234,,
fio,FIO,/slip44:235,,
bsv,BitcoinSV,/slip44:236,,
dxn,DEXON,/slip44:237,,
qrl,Quantum Resistant Ledger,/slip44:238,,
pcx,ChainX,/slip44:239,,
loki,Loki,/slip44:240,,
nim,Nimiq,/slip44:242,,
sov,Sovereign Coin,/slip44:243,,
jct,Jibital Coin,/slip44:244,,
slp,Simple Ledger Protocol,/slip44:245,,
ewt,Energy Web,/slip44:246,,
uc,Ulord,/slip44:247,,
exos,EXOS,/slip44:248,,
eca,Electra,/slip44:249,,
soom,Soom,/slip44:250,,
xrd,Redstone,/slip44:251,,
free,FreeCoin,/slip44:252,,
npw,NewPowerCoin,/slip44:253,,
bst,BlockStamp,/slip44:254,,
nano,Bitcoin Nano,/slip44:256,,
btcc,Bitcoin Core,/slip44:257,,
zest,Zest,/slip44:259,,
abt,ArcBlock,/slip44:260,,
pion,Pion,/slip44:261,,
dt3,DreamTeam3,/slip44:262,,
zbux,Zbux,/slip44:263,,
kpl,Kepler,/slip44:264,,
tpay,TokenPay,/slip44:265,,
zilla,ChainZilla,/slip44:266,,
ank,Anker,/slip44:267,,
bcc,BCChain,/slip44:268,,
hpb,HPB,/slip44:269,,
one,ONE,/slip44:270,,
sbc,SBC,/slip44:271,,
ipc,IPChain,/slip44:272,,
dmtc,Dominantchain,/slip44:273,,
ogc,Onegram,/slip44:274,,
shit,Shitcoin,/slip44:275,,
andes,Andescoin,/slip44:276,,
arepa,Arepacoin,/slip44:277,,
boli,Bolivarcoin,/slip44:278,,
ril,Rilcoin,/slip44:279,,
htr,Hathor Network,/slip44:280,,
acme,Accumulate,/slip44:281,,
bravo,BRAVO,/slip44:282,,
algo,Algorand,/slip44:283,,
bzx,Bitcoinzero,/slip44:284,,
gxx,GravityCoin,/slip44:285,,
heat,HEAT,/slip44:286,,
xdn,DigitalNote,/slip44:287,,
fsn,FUSION,/slip44:288,,
cpc,Capricoin,/slip44:289,,
bold,Bold,/slip44:290,,
iost,IOST,/slip44:291,,
tkey,Tkeycoin,/slip44:292,,
use,Usechain,/slip44:293,,
bcz,BitcoinCZ,/slip44:294,,
ioc,Iocoin,/slip44:295,,
asf,Asofe,/slip44:296,,
mass,MASS,/slip44:297,,
fair,FairCoin,/slip44:298,,
nuko,Nekonium,/slip44:299,,
gnx,Genaro Network,/slip44:300,,
divi,Divi Project,/slip44:301,,
cmt,Community,/slip44:302,,
euno,EUNO,/slip44:303,,
iotx,IoTeX,/slip44:304,,
onion,DeepOnion,/slip44:305,,
8bit,8Bit,/slip44:306,,
atc,AToken Coin,/slip44:307,,
bts,Bitshares,/slip44:308,,
ckb,Nervos CKB,/slip44:309,,
ugas,Ultrain,/slip44:310,,
ads,Adshares,/slip44:311,,
ara,Aura,/slip44:312,,
zil,Zilliqa,/slip44:313,,
moac,MOAC,/slip44:314,,
swtc,SWTC,/slip44:315,,
vnsc,vnscoin,/slip44:316,,
plug,Pl^g,/slip44:317,,
man,Matrix AI Network,/slip44:318,,
ecc,ECCoin,/slip44:319,,
rpd,Rapids,/slip44:320,,
rap,Rapture,/slip44:321,,
gard,Hashgard,/slip44:322,,
zer,Zero,/slip44:323,,
ebst,eBoost,/slip44:324,,
shard,Shard,/slip44:325,,
mrx,Metrix Coin,/slip44:326,,
cmm,Commercium,/slip44:327,,
block,Blocknet,/slip44:328,,
audax,AUDAX,/slip44:329,,
luna,Terra,/slip44:330,,
zpm,zPrime,/slip44:331,,
kuva,Kuva Utility Note,/slip44:332,,
mem,MemCoin,/slip44:333,,
cs,Credits,/slip44:334,,
swift,SwiftCash,/slip44:335,,
